date,open,high,low,close
2022-12-20 08:16:00,1.06117,1.06143,1.06081,1.06081
2022-12-20 08:17:00,1.06082,1.06086,1.06053,1.06057
2022-12-20 08:18:00,1.06057,1.06096,1.06057,1.06088
2022-12-20 08:19:00,1.06089,1.06129,1.06089,1.06123
2022-12-20 08:20:00,1.06123,1.06136,1.0609,1.06122
2022-12-20 08:21:00,1.06122,1.06125,1.06068,1.06073
2022-12-20 08:22:00,1.06074,1.06093,1.06056,1.06061
2022-12-20 08:23:00,1.06062,1.06079,1.06046,1.06053
2022-12-20 08:24:00,1.06054,1.06071,1.06038,1.06054
2022-12-20 08:25:00,1.06056,1.06056,1.06045,1.06048
2022-12-20 08:26:00,1.06048,1.06071,1.06042,1.06066
2022-12-20 08:27:00,1.06067,1.06095,1.06061,1.0609
2022-12-20 08:28:00,1.0609,1.06119,1.06075,1.06097
2022-12-20 08:29:00,1.06097,1.06097,1.06037,1.06062
